collar_id,site,treatment,start,end,day,fix,success,kept,reason,outlier step,outlier dist
PC074,WAMO,darting,15/02/2020,15/03/2020 23:00,30,707,0.981944444,Y,,,
PC075,WAMO,darting,15/02/2020,15/03/2020 23:00,30,707,0.981944444,Y,,,
PC076,WANA,darting,24/06/2020 11:00,24/07/2020 10:00,31,672,0.903225806,Y,,,
PC077,WANA,darting,24/06/2020 11:00,24/07/2020 10:00,31,701,0.942204301,Y,,,
PC078,WANA,darting,26/06/2020 10:00,26/07/2020 10:00,31,689,0.926075269,Y,,,
PC079,WANA,darting,28/06/2020 10:00,27/07/2020 16:00,30,609,0.845833333,Y,,,
PC081,WANA,darting,31/07/2020 11:00,30/08/2020 10:00,31,705,0.947580645,Y,,,
PC082,WANA,darting,31/07/2020 11:00,30/08/2020 10:00,31,695,0.934139785,Y,,,
PC083,WANA,darting,31/07/2020 11:00,30/08/2020 10:00,31,698,0.938172043,Y,,,
PC084,WANA,darting,1/08/2020 2:00,31/08/2020 2:00,31,700,0.940860215,Y,,,
PC085,WANA,darting,31/07/2020 11:00,30/08/2020 10:00,31,694,0.932795699,Y,,,
PC086,WANA,darting,31/07/2020 11:00,30/08/2020 10:00,31,709,0.952956989,Y,,,
PC090,WANA,darting,22/01/2021 5:00,21/02/2021 4:00,31,688,0.924731183,Y,,,
PC091,WANA,darting,22/01/2021 5:00,21/02/2021 4:00,31,678,0.911290323,Y,,,
PC092,WANA,darting,22/01/2021 5:00,21/02/2021 4:00,31,679,0.912634409,Y,,,
PC093,WANA,darting,27/02/2021 9:00,29/03/2021 9:00,31,703,0.944892473,Y,,,
PC095,WANA,darting,2/05/2021 1:00,1/06/2021,31,698,0.938172043,Y,,,
PC096,WANA,darting,2/05/2021 1:00,31/05/2021 23:00,30,712,0.988888889,Y,,,
PC097,WANA,darting,2/05/2021 1:00,1/06/2021,31,716,0.962365591,Y,,,
PC099,WANA,darting,2/05/2021 5:00,1/06/2021 5:00,31,710,0.954301075,Y,,,
PC100,WANA,darting,2/05/2021 5:00,1/06/2021 5:00,31,713,0.958333333,Y,,,
PC101,WANA,darting,2/05/2021 5:00,1/06/2021 5:00,31,712,0.956989247,Y,,,
PC102,WANA,darting,5/05/2021,4/06/2021,31,703,0.944892473,Y,,,
PC103,WANA,darting,5/05/2021,4/06/2021,31,708,0.951612903,Y,,,
PC104,WANA,darting,5/05/2021,4/06/2021,31,714,0.959677419,Y,,,
PC106,WANA,darting,5/05/2021 1:00,4/06/2021,31,699,0.939516129,Y,,,
PC107,WANA,darting,14/10/2021 9:00,13/11/2021 9:00,31,668,0.897849462,Y,,,
PC108,WANA,darting,14/10/2021 11:00,13/11/2021 10:00,31,670,0.900537634,Y,,,
PC109,WANA,darting,14/10/2021 9:00,13/11/2021 9:00,31,698,0.938172043,Y,,,
PC110,WANA,darting,2/02/2023 6:00,4/03/2023 5:00,31,675,0.907258065,Y,,,
PC112,WANA,darting,2/02/2023 9:00,4/03/2023 9:00,31,632,0.849462366,Y,,,
PC113,WANA,darting,2/02/2023 9:00,4/03/2023 9:00,31,621,0.834677419,Y,,,
PC114,WANA,darting,2/02/2023 9:00,4/03/2023 8:00,31,679,0.912634409,Y,,,
PC119,WANA,darting,28/11/2007 20:00,28/12/2007 20:00,31,519,0.697580645,Y,,,
PC120,WANA,darting,23/08/2007 17:00,20/09/2007 18:00,29,486,0.698275862,Y,,,
PC122,WANA,darting,31/08/2007 21:00,30/09/2007 21:00,31,544,0.731182796,Y,,,
PC123,WANA,darting,21/08/2007 14:00,20/09/2007 12:00,31,528,0.709677419,Y,,,
PC124,WAGA,darting,25/08/2018 4:00,24/09/2018 4:00,31,719,0.966397849,Y,,,
PC125,WAGA,darting,28/07/2018 9:00,27/08/2018 8:00,31,719,0.966397849,Y,,,
PC126,WAGA,darting,29/06/2018 2:00,29/07/2018 2:00,31,720,0.967741935,Y,,,
