ID,Capture method,Name,State,Site,Latitude,Longitude,Date,,,,,,,,
AB74,Manual,,NSW,booligal,-33.813679,144.810974,19/10/2021,,,,,,,,
AB66,Manual,,NSW,nimmie,-34.516581,144.034895,16/03/2021,,,,,,,,
DM18,Pole syringe,NTLLS FMD Collared Pig 8,NSW,Pindaroi station,-29.502336,151.296369,29/01/2023,,,,,,,,
DM36,Pole syringe,Eastern Collared Pig 53,NSW,Oban View,-30.088925,151.88899,7/03/2022,,,,,,,,
DM14,Pole syringe,NTLLS FMD Collared Pig 4,NSW,Glen more ,-29.482565,151.256197,25/01/2023,,,,,,,,
DM15,Pole syringe,NTLLS FMD Collared Pig 5,NSW,Maryland,-29.548622,151.319445,25/01/2023,,,,,,,,
DM17,Pole syringe,NTLLS FMD Collared Pig 7,NSW,Maryland,-29.548523,151.318577,25/01/2023,,,,,,,,
AB68,Manual,,NSW,marimley,-34.421912,143.730368,18/03/2021,,,,,,,,
DM13,Pole syringe,NTLLS FMD Collared Pig 3,NSW,Kahmoo,-29.551582,151.240487,25/01/2023,,,,,,,,
AB23,Manual,,NSW,nimmie,-34.5159647,144.034904,17/03/2021,,,,,,,,
DM12,Pole syringe,NTLLS FMD Collared Pig 2,NSW,Pindaroi station ,-29.510142,151.274712,17/01/2023,,,,,,,,
AB75,Manual,,NSW,napnap,-34.499612,144.21579,17/03/2021,,,,,,,,
AB32,Manual,,NSW,willowtree,-31.800267,150.51079,19/12/2022,,,,,,,,
AB17,Manual,,NSW,willowtree,-31.822863,150.503893,30/11/2022,,,,,,,,
DM45,Pole syringe,Eastern Collared Pig 58,NSW,Starlight river trap. Guy fawkes ,-29.94119,152.173477,7/09/2022,,,,,,,,
AB05,Manual,,NSW,willowtree,-31.786464,150.520252,2/12/2022,,,,,,,,
AB60,Manual,,NSW,nimmie,-34.526294,144.024585,16/03/2021,,,,,,,,
AB61,Manual,,NSW,booligal,-33.813824,144.73832,21/10/2021,,,,,,,,
